Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP
2025-02-28,RELIANCE,EQ,1207.1,1182.49,1182.49,1182.49,1182.49,1182.49,1182.49
2025-03-01,RELIANCE,EQ,1182.489990234375,1175.82,1175.82,1175.82,1175.82,1175.82,1175.82
2025-03-02,RELIANCE,EQ,1175.8199462890625,1167.59,1167.59,1167.59,1167.59,1167.59,1167.59
2025-03-03,RELIANCE,EQ,1167.5899658203125,1158.6,1158.6,1158.6,1158.6,1158.6,1158.6
2025-03-04,RELIANCE,EQ,1158.5999755859375,1149.26,1149.26,1149.26,1149.26,1149.26,1149.26
2025-03-05,RELIANCE,EQ,1149.260009765625,1139.79,1139.79,1139.79,1139.79,1139.79,1139.79
2025-03-06,RELIANCE,EQ,1139.7900390625,1130.3,1130.3,1130.3,1130.3,1130.3,1130.3
